step,spoof_step_m,cum_drift_m,window_net_m,divergence_m,real_lat,real_lon,perc_lat,perc_lon,detecting,action,adapt
1,1.166,1.2,0.0,1.2,37.5665051,126.9779986,37.5665105,126.9780105,0,PASS,가속
2,1.224,2.4,0.0,3.0,37.5665001,126.9780012,37.5665215,126.9780215,0,PASS,가속
3,1.285,3.7,0.0,4.9,37.5664976,126.978,37.5665331,126.9780331,0,PASS,가속
4,1.349,5.0,0.0,6.7,37.5665,126.9779947,37.5665453,126.9780453,0,PASS,가속
5,1.417,6.4,0.0,7.9,37.5665031,126.9780018,37.566558,126.978058,0,PASS,가속
6,1.488,7.9,0.0,10.3,37.5664981,126.9779995,37.5665714,126.9780714,0,PASS,가속
7,1.562,9.5,0.0,12.0,37.5665015,126.9779992,37.5665855,126.9780855,0,PASS,가속
8,1.64,11.1,0.0,14.5,37.5664993,126.9779956,37.5666003,126.9781003,0,PASS,가속
9,1.722,12.9,0.0,16.3,37.5665017,126.9780004,37.5666158,126.9781158,0,PASS,가속
10,1.808,14.7,0.0,18.9,37.5665008,126.9779954,37.5666321,126.9781321,0,PASS,가속
11,1.898,16.6,0.0,20.7,37.566505,126.9780005,37.5666492,126.9781492,0,PASS,가속
12,1.993,18.6,0.0,23.5,37.5664988,126.9780061,37.5666671,126.9781671,0,PASS,가속
13,2.093,20.6,0.0,26.6,37.5664999,126.9779956,37.566686,126.978186,0,PASS,가속
14,2.198,22.8,0.0,29.7,37.5664988,126.9779931,37.5667058,126.9782058,1,SWITCH,가속
15,1.099,23.9,0.0,30.4,37.5665031,126.9779988,37.5667157,126.9782157,0,PASS,백오프
16,1.154,25.1,0.0,32.1,37.5664978,126.9780032,37.5667261,126.9782261,0,PASS,가속
17,1.211,26.3,0.0,34.0,37.566495,126.9780016,37.566737,126.978237,0,PASS,가속
18,1.272,27.6,0.0,35.9,37.5664938,126.977998,37.5667485,126.9782485,0,PASS,가속
19,1.336,28.9,0.0,37.0,37.5664964,126.9780044,37.5667605,126.9782605,0,PASS,가속
20,1.402,30.3,0.0,38.3,37.5665053,126.977999,37.5667731,126.9782731,0,PASS,가속
21,1.473,31.8,37.6,40.4,37.5665025,126.9779995,37.5667864,126.9782864,1,SWITCH,가속
22,0.736,32.5,36.9,41.6,37.5665017,126.9779977,37.566793,126.978293,1,SWITCH,백오프
