timestamp,experiment,payload,route,variant,verdict,reason,effect,preconditions,mission_impact,fc_impact,gcs_or_log_impact,observed_signal,bundle
2026-07-07T02:28:08.122071+00:00,E19_mode_command,mode-command,fc-direct,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:28:40.608856+00:00,E19_mode_command,mode-command,fc-direct,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:29:12.501123+00:00,E19_mode_command,mode-command,fc-direct,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:29:44.687259+00:00,E19_mode_command,mode-command,fc-direct,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:30:19.246923+00:00,E19_mode_command,mode-command,mavproxy-udp,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:30:53.484986+00:00,E19_mode_command,mode-command,mavproxy-udp,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:31:27.894911+00:00,E19_mode_command,mode-command,mavproxy-udp,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:32:05.670250+00:00,E19_mode_command,mode-command,mavproxy-udp,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:32:37.562452+00:00,E19_mode_command,mode-command,companion,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:33:09.457204+00:00,E19_mode_command,mode-command,companion,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:33:41.555053+00:00,E19_mode_command,mode-command,companion,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:34:13.445733+00:00,E19_mode_command,mode-command,companion,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
