timestamp,experiment,payload,route,variant,verdict,reason,effect,preconditions,mission_impact,fc_impact,gcs_or_log_impact,observed_signal,bundle
2026-07-07T02:42:41.355143+00:00,E18_payload_matrix,gps-input,fc-direct,stealth-opt,pass,existing GPS_INPUT result reused,position-estimate/geofence deception,trusted GPS_INPUT path to FC,geofence decision impact,1,0,reflection_rate=0.9016393442622951,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T011423_872299Z_E13_route_relaxation
2026-07-07T02:42:41.355189+00:00,E18_payload_matrix,gps-input,mavproxy-udp,stealth-opt,pass,existing GPS_INPUT result reused,position-estimate/geofence deception,trusted GPS_INPUT path to FC,geofence decision impact,1,0,reflection_rate=0.9,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T011423_872299Z_E13_route_relaxation
2026-07-07T02:42:41.355200+00:00,E18_payload_matrix,gps-input,companion,stealth-opt,pass,existing GPS_INPUT result reused,position-estimate/geofence deception,trusted GPS_INPUT path to FC,geofence decision impact,1,0,reflection_rate=0.9016393442622951,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T011423_872299Z_E13_route_relaxation
2026-07-07T02:28:08.122071+00:00,E19_mode_command,mode-command,fc-direct,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:28:40.608856+00:00,E19_mode_command,mode-command,fc-direct,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:29:12.501123+00:00,E19_mode_command,mode-command,fc-direct,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:29:44.687259+00:00,E19_mode_command,mode-command,fc-direct,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:30:19.246923+00:00,E19_mode_command,mode-command,mavproxy-udp,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:30:53.484986+00:00,E19_mode_command,mode-command,mavproxy-udp,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:31:27.894911+00:00,E19_mode_command,mode-command,mavproxy-udp,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:32:05.670250+00:00,E19_mode_command,mode-command,mavproxy-udp,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:32:37.562452+00:00,E19_mode_command,mode-command,companion,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:33:09.457204+00:00,E19_mode_command,mode-command,companion,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:33:41.555053+00:00,E19_mode_command,mode-command,companion,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:34:13.445733+00:00,E19_mode_command,mode-command,companion,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:41:59.567424+00:00,E20_mission_edit,mission-edit,fc-direct,single-waypoint-upload,fail,mission upload or readback failed,mission path modification,MAVLink mission upload/write access,no confirmed mission change,0,0,uploaded=True; readback_count=0; max_mission_seq=0,
2026-07-07T02:42:32.623955+00:00,E21_param_edit,param-edit,fc-direct,fence-speed-failsafe-params,pass,4/4 parameter changes confirmed; speed_param=WP_SPD,persistent configuration change,MAVLink parameter write access,configuration/stateful mission behavior can be changed later,1,0,"PARAM_VALUE readback; required=FENCE_RADIUS,FENCE_ACTION,WP_SPD",
2026-07-07T02:35:42.895390+00:00,E22_telemetry_deception,telemetry-deception,fc-direct,GLOBAL_POSITION_INT,pass,output-style message did not contaminate FC input,GCS/log stream confusion only,MAVLink access to telemetry stream; not FC sensor input,"operator/log deception, not autonomous FC behavior change",0,1,reflection_rate=0.0,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T023518_691438Z_E22_telemetry_deception
