payload,route,required_access,required_state,required_params,blocked_reason,not_claimed
gps-input,fc-direct,trusted MAVLink GPS_INPUT path,FC configured to accept MAVLink GPS input,GPS1_TYPE/GPS_TYPE set to MAVLink GPS in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
gps-input,mavproxy-udp,trusted MAVLink GPS_INPUT path,FC configured to accept MAVLink GPS input,GPS1_TYPE/GPS_TYPE set to MAVLink GPS in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
gps-input,companion,trusted MAVLink GPS_INPUT path,FC configured to accept MAVLink GPS input,GPS1_TYPE/GPS_TYPE set to MAVLink GPS in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,fc-direct,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,mavproxy-udp,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mode-command,companion,MAVLink write access to FC command/mode channel,vehicle accepts requested mode; some modes need GPS/home/armed state,ARMING_CHECK may need relaxation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
mission-edit,fc-direct,MAVLink write access to mission protocol,FC accepts mission upload; AUTO observation optional,ARMING_CHECK may need relaxation for AUTO observation in SITL,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
param-edit,fc-direct,MAVLink parameter write access,target parameters exist and are writable,"selected=FENCE_RADIUS,FENCE_ACTION,FS_EKF_ACTION,WP_SPD; speed_candidates=WPNAV_SPEED,WP_SPD,LOIT_SPEED,LOIT_SPEED_MS",,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
telemetry-deception,fc-direct,MAVLink access to output/telemetry path,GCS/log consumer accepts unauthenticated or competing status messages,none for FC input; this is not GPS spoofing,,remote exploit; credential bypass; RF GNSS spoofing; RF jamming; MAVLink signing bypass; real vehicle takeover; full mission takeover
