experiment,detector,parameters,metric,value,condition
A3-1_IForest_contamination,IsolationForest,contamination=0.01,정상오탐율(%),0.7,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.01,1m위조탐지율(%),0.0,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.01,5m위조탐지율(%),4.5,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.01,10m위조탐지율(%),10.0,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.03,정상오탐율(%),2.3,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.03,1m위조탐지율(%),1.0,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.03,5m위조탐지율(%),42.5,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.03,10m위조탐지율(%),48.0,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.05,정상오탐율(%),4.0,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.05,1m위조탐지율(%),5.0,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.05,5m위조탐지율(%),66.0,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.05,10m위조탐지율(%),67.5,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
A3-1_IForest_contamination,IsolationForest,contamination=0.1,정상오탐율(%),8.3,data=normal_flight.csv; split=70/30; seed=42; FP=test 이상비율; 탐지=drift별 200회 랜덤 test 샘플 위조 예측
