mode,step,spoof_step_m,cum_drift_m,window_net_m,abs_drift_m,detecting,state,action
OLD,1,1.166,1.2,0.0,0.0,0,-,PASS
OLD,2,1.224,2.4,0.0,0.0,0,-,PASS
OLD,3,1.285,3.7,0.0,0.0,0,-,PASS
OLD,4,1.349,5.0,0.0,0.0,0,-,PASS
OLD,5,1.417,6.4,0.0,1.8,0,-,PASS
OLD,6,1.488,7.9,0.0,3.7,0,-,PASS
OLD,7,1.562,9.5,0.0,5.7,0,-,PASS
OLD,8,1.64,11.1,0.0,7.8,0,-,PASS
OLD,9,1.722,12.9,0.0,10.0,0,-,PASS
OLD,10,1.808,14.7,0.0,12.3,0,-,PASS
OLD,11,1.898,16.6,0.0,14.7,0,-,PASS
OLD,12,1.993,18.6,0.0,17.3,0,-,PASS
OLD,13,2.093,20.6,0.0,20.0,0,-,PASS
OLD,14,2.198,22.8,0.0,22.8,1,-,SWITCH
OLD,15,1.099,23.9,0.0,24.2,0,-,PASS
OLD,16,1.154,25.1,0.0,25.7,0,-,PASS
OLD,17,1.211,26.3,0.0,27.2,0,-,PASS
OLD,18,1.272,27.6,0.0,28.8,0,-,PASS
OLD,19,1.336,28.9,0.0,30.5,0,-,PASS
OLD,20,1.402,30.3,0.0,32.3,0,-,PASS
OLD,21,1.473,31.8,37.6,34.2,1,-,SWITCH
OLD,22,0.736,32.5,36.9,35.2,1,-,SWITCH
OLD,23,0.368,32.9,35.6,35.6,1,-,SWITCH
OLD,24,0.222,33.1,34.1,35.9,1,-,SWITCH
OLD,25,0.222,33.3,32.5,36.2,1,-,SWITCH
OLD,26,0.222,33.6,30.8,36.5,1,-,SWITCH
OLD,27,0.222,33.8,29.0,36.8,1,-,SWITCH
OLD,28,0.222,34.0,27.0,37.0,1,-,SWITCH
OLD,29,0.222,34.2,25.0,37.3,1,-,SWITCH
OLD,30,0.222,34.4,22.9,37.6,1,-,SWITCH
OLD,31,0.222,34.7,20.6,37.9,1,-,SWITCH
OLD,32,0.222,34.9,18.2,38.2,1,-,SWITCH
OLD,33,0.222,35.1,15.7,38.5,1,-,SWITCH
OLD,34,0.222,35.3,14.6,38.7,0,-,PASS
OLD,35,0.233,35.6,13.4,39.0,0,-,PASS
OLD,36,0.245,35.8,12.2,39.4,0,-,PASS
OLD,37,0.257,36.1,10.9,39.7,0,-,PASS
OLD,38,0.27,36.3,9.5,40.0,0,-,PASS
OLD,39,0.283,36.6,8.1,40.4,0,-,PASS
OLD,40,0.298,36.9,6.6,40.8,0,-,PASS
OLD,41,0.312,37.2,6.0,41.2,0,-,PASS
OLD,42,0.328,37.6,6.0,41.6,0,-,PASS
